timestamp,test-class,test-method,time,description,result
2021-09-10 10:42:39.472,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,5650,"[1] recordIndex=7, author=12345, text=12345, info=null, tracker=21-1231-0910, deadline=2021/09/24 11:11, budget=EUR 100.00, important=true",OK
2021-09-10 10:42:44.484,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,4789,"[2] recordIndex=8, author=123456, text=123456, info=http://www.example1.org, tracker=21-1232-0910, deadline=2021/09/24 11:11, budget=EUR 9,999,999,999.99, important=false",OK
2021-09-10 10:42:52.0,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,7324,"[3] recordIndex=9, author=1234567890123456789012345, text=1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890, info=https://www.google.es, tracker=21-1233-0910, deadline=2021/09/24 11:11, budget=EUR 100.00, important=true",OK
2021-09-10 10:42:59.473,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,7278,"[4] recordIndex=10, author=123456789012345678901234, text=123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789, info=null, tracker=21-1234-0910, deadline=2021/09/24 11:11, budget=USD 100.00, important=true",OK
2021-09-10 10:43:06.191,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,6508,"[5] recordIndex=11, author=12345678, text=12345678, info=null, tracker=21-1235-0910, deadline=2021/09/17 12:00, budget=GBP 100.00, important=false",OK
2021-09-10 10:43:13.218,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,6830,"[6] recordIndex=12, author=12345678, text=12345678, info=null, tracker=21-1236-0910, deadline=2021/09/24 11:11, budget=EUR 0.00, important=true",OK
2021-09-10 10:43:19.954,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,6524,"[7] recordIndex=13, author=12345678, text=12345678, info=null, tracker=21-1237-0910, deadline=2021/09/24 11:11, budget=EUR 0.01, important=false",OK
2021-09-10 10:43:27.181,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,7017,"[8] recordIndex=14, author=adsasdas, text=asdasdawa, info=null, tracker=21-1238-0910, deadline=2021/09/24 00:01, budget=EUR 10.10, important=true",OK
2021-09-10 10:43:34.023,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,6617,"[9] recordIndex=15, author=hj1h2k231h, text=Hola buenas tardes, info=https://www.google.es, tracker=21-1239-0910, deadline=2021/09/24 00:01, budget=GBP 1.50, important=false",OK
2021-09-10 10:43:38.991,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,4742,"[10] recordIndex=16, author=pepejuan, text=pepejuan, info=null, tracker=21-1240-0910, deadline=2022/09/24 00:01, budget=USD 0.10, important=false",OK
2021-09-10 10:43:43.942,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,4743,"[11] recordIndex=17, author=pepejuan, text=pepejuan, info=null, tracker=21-1241-0910, deadline=2021/09/24 11:11, budget=USD 100.00, important=false",OK
